AutoID_row_number,fbus,tbus,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
454,45,85,450,450,450,0.0,14.026
455,45,85,450,450,450,0.0,13.976
456,45,124,126,126,126,0.0,36.248
457,45,124,126,126,126,0.0,36.333
458,45,124,126,126,126,0.0,36.244
459,46,125,170,170,170,0.0,27.112
460,46,125,120,120,120,0.0,38.447
461,46,125,120,120,120,0.0,38.452
462,47,127,126,126,126,0.0,39.543
463,47,127,170,170,170,0.0,28.783
464,47,127,126,126,126,0.0,39.367
465,48,129,120,120,120,0.0,41.74
466,48,129,126,126,126,0.0,39.885
467,48,129,170,170,170,0.0,29.155
468,49,130,120,120,120,0.0,40.995
469,49,130,120,120,120,0.0,40.997
470,49,130,120,120,120,0.0,40.992
471,49,130,126,126,126,0.0,39.044
472,50,89,450,450,450,13.043,42.971
473,50,89,450,450,450,69.565,57.102
474,50,89,450,450,450,69.565,55.614
475,51,90,450,450,450,0.0,18.875
476,52,132,126,126,126,73.913,54.211
477,53,134,170,170,170,0.0,33.403
478,53,134,126,126,126,0.0,45.763
479,53,134,170,170,170,0.0,33.384
480,55,135,170,170,170,0.0,32.413
481,55,135,120,120,120,0.0,45.876
482,55,135,120,120,120,0.0,45.878
483,55,135,170,170,170,0.0,32.382
484,56,136,170,170,170,0.0,33.121
485,56,136,170,170,170,0.0,33.119
486,56,136,170,170,170,0.0,33.122
487,57,93,450,450,450,60.87,46.741
488,57,93,450,450,450,60.87,46.412
489,57,138,126,126,126,0.0,45.252
490,57,138,170,170,170,0.0,33.538
491,57,138,170,170,170,0.0,33.667
492,58,139,170,170,170,0.0,34.178
493,58,139,170,170,170,0.0,34.177
494,58,139,170,170,170,0.0,34.179
495,59,143,170,170,170,0.0,34.719
496,59,143,170,170,170,0.0,34.719
497,60,144,170,170,170,0.0,35.459
498,60,144,126,126,126,0.0,47.892
499,62,152,126,126,126,21.739,49.682
500,62,152,126,126,126,21.739,49.685
501,62,152,63,63,63,100.0,98.667
502,63,153,63,63,63,100.0,100.0
503,63,153,63,63,63,100.0,100.0
504,64,154,126,126,126,100.0,50.853
505,64,154,126,126,126,100.0,50.854
506,65,155,126,126,126,100.0,52.152
507,65,155,126,126,126,100.0,52.445
508,65,155,126,126,126,100.0,52.419
509,66,156,170,170,170,0.0,39.855
510,66,156,170,170,170,0.0,39.819
511,68,157,170,170,170,0.0,40.001
512,68,157,170,170,170,0.0,40.001
513,69,101,450,450,450,0.0,35.463
514,71,161,170,170,170,0.0,42.653
515,71,161,170,170,170,0.0,42.569
516,73,165,126,126,126,100.0,58.156
517,73,165,126,126,126,100.0,58.181
518,74,166,170,170,170,0.0,44.429
519,74,166,170,170,170,0.0,44.42
520,75,167,170,170,170,0.0,44.211
521,75,167,120,120,120,100.0,62.726
522,75,167,120,120,120,100.0,62.712
523,76,168,170,170,170,0.0,44.716
524,76,168,170,170,170,0.0,44.716
525,76,168,170,170,170,0.0,44.956
526,77,106,450,450,450,0.0,28.063
527,77,106,450,450,450,0.0,28.286
528,77,106,450,450,450,0.0,28.021
529,78,170,126,126,126,100.0,62.064
530,78,170,126,126,126,100.0,62.07
531,79,172,126,126,126,100.0,62.778
532,79,172,126,126,126,100.0,62.788
533,81,116,170,170,170,60.87,49.925
534,81,116,170,170,170,65.217,49.933
535,82,119,170,170,170,0.0,48.355
536,82,119,170,170,170,0.0,48.353
537,82,119,170,170,170,0.0,48.354
538,83,122,170,170,170,0.0,48.926
539,83,122,170,170,170,0.0,48.928
540,83,122,170,170,170,0.0,48.926
541,88,128,170,170,170,100.0,54.969
542,88,128,170,170,170,100.0,54.969
543,89,131,170,170,170,100.0,52.698
544,89,131,170,170,170,100.0,52.695
545,89,131,170,170,170,100.0,52.675
546,92,137,170,170,170,100.0,54.162
547,92,137,170,170,170,100.0,54.162
548,95,145,170,170,170,100.0,76.425
549,95,145,170,170,170,100.0,57.038
550,95,145,170,170,170,100.0,56.977
551,97,147,170,170,170,100.0,57.116
552,101,158,170,170,170,100.0,59.449
553,101,158,170,170,170,100.0,59.448
554,103,160,170,170,170,100.0,61.395
555,103,160,170,170,170,100.0,61.4
556,105,164,170,170,170,100.0,61.783
557,105,164,170,170,170,100.0,61.783
