,Support_ID,EI,LA,MS,action
323,S96NR3FP//D59-43,0.6963,0.0,0.0,Replacement
324,S98JDOV2//D59-44,0.6963,0.0,0.0,Replacement
325,S9B6FE4T//D59-45,0.6963,0.0,0.0,Replacement
326,S9C9TIPU//D59-46,0.6963,0.0,0.0,Replacement
327,S9EKF18O//D59-47,0.6963,0.0,0.0,Replacement
328,S9G9AN83//D59-48,0.6963,0.0,0.0,Replacement
329,S9GNI37M//D59-49,0.6963,0.0,0.0,Replacement
330,S9H009WP//D59-48-1,0.6214999999999999,0.0,0.0,Replacement
331,S9HK78CL//D59-48-2,0.6214999999999999,0.0,0.0,Replacement
332,S9IG4WEF//D59-50,0.6963,0.0,0.0,Replacement
333,S9JAJQF3//D59-48-3,0.6214999999999999,0.0,0.0,Replacement
334,S9K78VHR//D59-51,0.6963,0.0,0.0,Replacement
335,S9L5EWSE//D59-48-4,0.6214999999999999,0.0,0.0,Replacement
336,S9M5TB4P//D59-52,0.6963,0.0,0.0,Replacement
337,S9MNRWGQ//D59-48-5,0.6214999999999999,0.0,0.0,Replacement
338,S9ODF1BO//D59-53,0.6963,0.0,0.0,Replacement
339,S9OEVVL6//D59-48-6,0.6214999999999999,0.0,0.0,Replacement
340,S9PP31O3//D59-48-7,0.6214999999999999,0.0,0.0,Replacement
341,S9QN92WJ//D59-48-8,0.565,0.44,0.0,Keep the current maintenance
342,S9R185I1//D59-54,0.6963,0.0,0.0,Replacement
343,S9R5OS3P//D59-48-9,0.6214999999999999,0.0,0.0,Replacement
344,S9SL4188//D59-55,0.6963,0.0,0.0,Replacement
345,S9SVK89X//D59-48-10,0.6214999999999999,0.0,0.0,Replacement
346,S9UVNI1O//D59-48-11,0.6214999999999999,0.0,0.0,Replacement
347,S9VK4R87//D59-56,0.6963,0.0,0.0,Replacement
348,S9WS1K4W//D59-57,0.6963,0.0,0.0,Replacement
349,S9WVQRRJ//D59-48-12,0.6214999999999999,0.0,0.0,Replacement
350,SA046O6W//D59-58,0.6963,0.0,0.0,Replacement
351,SA0WLIL2//D59-48-13,0.6214999999999999,0.0,0.0,Replacement
352,SA20IQMI//D59-59,0.6963,0.0,0.0,Replacement
353,SA2M8LLM//D59-48-14,0.6214999999999999,0.0,0.0,Replacement
354,SA3FW02P//D59-60,0.6963,0.0,0.0,Replacement
355,SA4W2N0P//D59-48-15,0.165,0.342,0.0,Keep the current maintenance
356,SA5L9D5K//D59-61,0.6963,0.0,0.0,Replacement
357,SA715OGG//D59-62,0.6963,0.0,0.0,Replacement
358,SA8L1K81//D59-63,0.6963,0.0,0.0,Replacement
359,SA9A8AUC//D59-64,0.6963,0.0,0.0,Replacement
360,SAA3VNQU//D59-63-1-CT,0.499,0.434,0.0,Keep the current maintenance
361,SAA3VNV0//D59-65,0.6963,0.0,0.0,Replacement
362,SAAR4EJ8//D59-66,0.6963,0.0,0.0,Replacement
363,SAF2AALR//D59-67,0.6963,0.0,0.0,Replacement
364,SAHBCV02//D59-68,0.6963,0.0,0.0,Replacement
365,SAHF4495//D59-68-1-CT,0.499,0.434,0.0,Keep the current maintenance
366,SAJTES0E//D59-69,0.6963,0.0,0.0,Replacement
367,SAM60AF0//D59-70,1.0263000000000002,0.0,0.458,Replacement
368,SAOEBFMR//D59-71,0.6963,0.0,0.0,Replacement
369,SAQ6WASR//D59-72,0.6963,0.0,0.0,Replacement
370,SAS99VNN//D59-73,0.6963,0.0,0.0,Replacement
371,SATW5JKO//D59-74,0.6963,0.0,0.0,Replacement
372,SAX2EF03//D59-76-1 CT,0.6214999999999999,0.0,0.0,Replacement
373,SAXCULNU//D59-76,0.6963,0.0,0.0,Replacement
374,SB15HGUF//D59-77,0.6963,0.0,0.0,Replacement
375,SB32L0DN//D59-78,0.6963,0.0,0.0,Replacement
376,SB4W7LQT//D59-79-1 CT,0.565,0.465,0.0,Keep the current maintenance
377,SB51WT27//D59-79,0.6963,0.0,0.0,Replacement
378,SB65CXNO//D59-80 CT,0.6963,0.0,0.0,Replacement
379,TAWHA09W//D59-75,0.6963,0.0,0.0,Replacement
